American_Goldfinch,American_Robin,Barn_Swallow,Blue_Jay,Blue-grey_Gnatcatcher,Carolina_Chickadee,Carolina_Wren,Cedar_Waxwing,Northern_Cardinal,Ruby-crowned_Kinglet
American_Goldfinch_XC159567.wav,American_Robin_XC146297.wav,Barn_Swallow_XC142794.wav,Blue_Jay_XC141539.wav,Blue-grey_Gnatcatcher_XC141458.wav,Carolina_Chickadee_XC135127.wav,Carolina_Wren_XC161228.wav,Cedar_Waxwing_XC142622.wav,Northern_Cardinal_XC158418.wav,Ruby-crowned_Kinglet_XC173895.wav
American_Goldfinch_XC159568.wav,American_Robin_XC153633.wav,Barn_Swallow_XC143303.wav,Blue_Jay_XC142185.wav,Blue-grey_Gnatcatcher_XC147059.wav,Carolina_Chickadee_XC139090.wav,Carolina_Wren_XC161230.wav,Cedar_Waxwing_XC144027.wav,Northern_Cardinal_XC163305.wav,Ruby-crowned_Kinglet_XC175094.wav
American_Goldfinch_XC159604.wav,American_Robin_XC153866.wav,Barn_Swallow_XC144982.wav,Blue_Jay_XC142244.wav,Blue-grey_Gnatcatcher_XC151249.wav,Carolina_Chickadee_XC141904.wav,Carolina_Wren_XC161235.wav,Cedar_Waxwing_XC159393.wav,Northern_Cardinal_XC163308.wav,Ruby-crowned_Kinglet_XC181496.wav
American_Goldfinch_XC160625.wav,American_Robin_XC157683.wav,Barn_Swallow_XC146746.wav,Blue_Jay_XC144383.wav,Blue-grey_Gnatcatcher_XC158415.wav,Carolina_Chickadee_XC154971.wav,Carolina_Wren_XC166959.wav,Cedar_Waxwing_XC159774.wav,Northern_Cardinal_XC163311.wav,Ruby-crowned_Kinglet_XC188240.wav
American_Goldfinch_XC160660.wav,American_Robin_XC157883.wav,Barn_Swallow_XC147199.wav,Blue_Jay_XC144899.wav,Blue-grey_Gnatcatcher_XC169145.wav,Carolina_Chickadee_XC167822.wav,Carolina_Wren_XC167825.wav,Cedar_Waxwing_XC159842.wav,Northern_Cardinal_XC163314.wav,Ruby-crowned_Kinglet_XC188379.wav
American_Goldfinch_XC160665.wav,American_Robin_XC158033.wav,Barn_Swallow_XC147276.wav,Blue_Jay_XC148726.wav,Blue-grey_Gnatcatcher_XC169146.wav,Carolina_Chickadee_XC167823.wav,Carolina_Wren_XC168620.wav,Cedar_Waxwing_XC166089.wav,Northern_Cardinal_XC163317.wav,Ruby-crowned_Kinglet_XC191466.wav
American_Goldfinch_XC160788.wav,American_Robin_XC158035.wav,Barn_Swallow_XC147393.wav,Blue_Jay_XC149302.wav,Blue-grey_Gnatcatcher_XC169151.wav,Carolina_Chickadee_XC167824.wav,Carolina_Wren_XC168622.wav,Cedar_Waxwing_XC168871.wav,Northern_Cardinal_XC163782.wav,Ruby-crowned_Kinglet_XC193049.wav
American_Goldfinch_XC160789.wav,American_Robin_XC158036.wav,Barn_Swallow_XC157370.wav,Blue_Jay_XC149303.wav,Blue-grey_Gnatcatcher_XC173282.wav,Carolina_Chickadee_XC173446.wav,Carolina_Wren_XC168623.wav,Cedar_Waxwing_XC169237.wav,Northern_Cardinal_XC165343.wav,Ruby-crowned_Kinglet_XC201424.wav
American_Goldfinch_XC160802.wav,American_Robin_XC158919.wav,Barn_Swallow_XC157375.wav,Blue_Jay_XC149305.wav,Blue-grey_Gnatcatcher_XC173283.wav,Carolina_Chickadee_XC173448.wav,Carolina_Wren_XC168625.wav,Cedar_Waxwing_XC185609.wav,Northern_Cardinal_XC169226.wav,Ruby-crowned_Kinglet_XC203760.wav
American_Goldfinch_XC163044.wav,American_Robin_XC158927.wav,Barn_Swallow_XC159064.wav,Blue_Jay_XC149308.wav,Blue-grey_Gnatcatcher_XC173284.wav,Carolina_Chickadee_XC173449.wav,Carolina_Wren_XC168626.wav,Cedar_Waxwing_XC190455.wav,Northern_Cardinal_XC172436.wav,Ruby-crowned_Kinglet_XC210994.wav
American_Goldfinch_XC165034.wav,American_Robin_XC158960.wav,Barn_Swallow_XC159134.wav,Blue_Jay_XC149309.wav,Blue-grey_Gnatcatcher_XC179812.wav,Carolina_Chickadee_XC173451.wav,Carolina_Wren_XC169159.wav,Cedar_Waxwing_XC191446.wav,Northern_Cardinal_XC177125.wav,Ruby-crowned_Kinglet_XC211133.wav
American_Goldfinch_XC169080.wav,American_Robin_XC158980.wav,Barn_Swallow_XC159256.wav,Blue_Jay_XC149311.wav,Blue-grey_Gnatcatcher_XC181109.wav,Carolina_Chickadee_XC173453.wav,Carolina_Wren_XC169160.wav,Cedar_Waxwing_XC205985.wav,Northern_Cardinal_XC177130.wav,Ruby-crowned_Kinglet_XC229050.wav
American_Goldfinch_XC169081.wav,American_Robin_XC158993.wav,Barn_Swallow_XC163458.wav,Blue_Jay_XC149313.wav,Blue-grey_Gnatcatcher_XC181408.wav,Carolina_Chickadee_XC173455.wav,Carolina_Wren_XC169161.wav,Cedar_Waxwing_XC216848.wav,Northern_Cardinal_XC177131.wav,Ruby-crowned_Kinglet_XC229051.wav
American_Goldfinch_XC169083.wav,American_Robin_XC159097.wav,Barn_Swallow_XC164428.wav,Blue_Jay_XC149315.wav,Blue-grey_Gnatcatcher_XC181412.wav,Carolina_Chickadee_XC173457.wav,Carolina_Wren_XC169363.wav,Cedar_Waxwing_XC219783.wav,Northern_Cardinal_XC177133.wav,Ruby-crowned_Kinglet_XC229052.wav
American_Goldfinch_XC169084.wav,American_Robin_XC159109.wav,Barn_Swallow_XC164429.wav,Blue_Jay_XC149316.wav,Blue-grey_Gnatcatcher_XC192059.wav,Carolina_Chickadee_XC173458.wav,Carolina_Wren_XC173574.wav,Cedar_Waxwing_XC219784.wav,Northern_Cardinal_XC177573.wav,Ruby-crowned_Kinglet_XC229930.wav
American_Goldfinch_XC175254.wav,American_Robin_XC159372.wav,Barn_Swallow_XC164430.wav,Blue_Jay_XC149318.wav,Blue-grey_Gnatcatcher_XC196885.wav,Carolina_Chickadee_XC173460.wav,Carolina_Wren_XC173577.wav,Cedar_Waxwing_XC240175.wav,Northern_Cardinal_XC189324.wav,Ruby-crowned_Kinglet_XC229931.wav
American_Goldfinch_XC179074.wav,American_Robin_XC159669.wav,Barn_Swallow_XC166240.wav,Blue_Jay_XC149331.wav,Blue-grey_Gnatcatcher_XC196893.wav,Carolina_Chickadee_XC173462.wav,Carolina_Wren_XC173579.wav,Cedar_Waxwing_XC253514.wav,Northern_Cardinal_XC190446.wav,Ruby-crowned_Kinglet_XC229932.wav
American_Goldfinch_XC179092.wav,American_Robin_XC159676.wav,Barn_Swallow_XC166241.wav,Blue_Jay_XC149336.wav,Blue-grey_Gnatcatcher_XC205394.wav,Carolina_Chickadee_XC179084.wav,Carolina_Wren_XC181691.wav,Cedar_Waxwing_XC253578.wav,Northern_Cardinal_XC190468.wav,Ruby-crowned_Kinglet_XC229933.wav
American_Goldfinch_XC179124.wav,American_Robin_XC159739.wav,Barn_Swallow_XC166242.wav,Blue_Jay_XC149337.wav,Blue-grey_Gnatcatcher_XC205395.wav,Carolina_Chickadee_XC209081.wav,Carolina_Wren_XC199434.wav,Cedar_Waxwing_XC254630.wav,Northern_Cardinal_XC190562.wav,Ruby-crowned_Kinglet_XC229934.wav
American_Goldfinch_XC182078.wav,American_Robin_XC159750.wav,Barn_Swallow_XC174592.wav,Blue_Jay_XC149338.wav,Blue-grey_Gnatcatcher_XC205420.wav,Carolina_Chickadee_XC211135.wav,Carolina_Wren_XC202128.wav,Cedar_Waxwing_XC255275.wav,Northern_Cardinal_XC192422.wav,Ruby-crowned_Kinglet_XC229935.wav
American_Goldfinch_XC182406.wav,American_Robin_XC159905.wav,Barn_Swallow_XC176624.wav,Blue_Jay_XC155439.wav,Blue-grey_Gnatcatcher_XC205431.wav,Carolina_Chickadee_XC227272.wav,Carolina_Wren_XC210844.wav,Cedar_Waxwing_XC269177.wav,Northern_Cardinal_XC197298.wav,Ruby-crowned_Kinglet_XC229936.wav
American_Goldfinch_XC192099.wav,American_Robin_XC160003.wav,Barn_Swallow_XC176625.wav,Blue_Jay_XC160564.wav,Blue-grey_Gnatcatcher_XC205523.wav,Carolina_Chickadee_XC227273.wav,Carolina_Wren_XC210846.wav,Cedar_Waxwing_XC269178.wav,Northern_Cardinal_XC199662.wav,Ruby-crowned_Kinglet_XC229944.wav
American_Goldfinch_XC205514.wav,American_Robin_XC160026.wav,Barn_Swallow_XC178328.wav,Blue_Jay_XC163419.wav,Blue-grey_Gnatcatcher_XC205774.wav,Carolina_Chickadee_XC234311.wav,Carolina_Wren_XC210847.wav,Cedar_Waxwing_XC276800.wav,Northern_Cardinal_XC202181.wav,Ruby-crowned_Kinglet_XC232971.wav
American_Goldfinch_XC210732.wav,American_Robin_XC160094.wav,Barn_Swallow_XC179356.wav,Blue_Jay_XC163420.wav,Blue-grey_Gnatcatcher_XC205869.wav,Carolina_Chickadee_XC267298.wav,Carolina_Wren_XC210850.wav,Cedar_Waxwing_XC288251.wav,Northern_Cardinal_XC203261.wav,Ruby-crowned_Kinglet_XC233657.wav
American_Goldfinch_XC210744.wav,American_Robin_XC160308.wav,Barn_Swallow_XC183402.wav,Blue_Jay_XC163421.wav,Blue-grey_Gnatcatcher_XC228487.wav,Carolina_Chickadee_XC269614.wav,Carolina_Wren_XC210852.wav,Cedar_Waxwing_XC289252.wav,Northern_Cardinal_XC204955.wav,Ruby-crowned_Kinglet_XC233730.wav
American_Goldfinch_XC210746.wav,American_Robin_XC160315.wav,Barn_Swallow_XC183791.wav,Blue_Jay_XC163422.wav,Blue-grey_Gnatcatcher_XC228488.wav,Carolina_Chickadee_XC293294.wav,Carolina_Wren_XC210853.wav,Cedar_Waxwing_XC290061.wav,Northern_Cardinal_XC205822.wav,Ruby-crowned_Kinglet_XC284509.wav
American_Goldfinch_XC210754.wav,American_Robin_XC160326.wav,Barn_Swallow_XC183794.wav,Blue_Jay_XC163423.wav,Blue-grey_Gnatcatcher_XC228489.wav,Carolina_Chickadee_XC296929.wav,Carolina_Wren_XC210855.wav,Cedar_Waxwing_XC291918.wav,Northern_Cardinal_XC205824.wav,Ruby-crowned_Kinglet_XC288237.wav
American_Goldfinch_XC210757.wav,American_Robin_XC160344.wav,Barn_Swallow_XC184414.wav,Blue_Jay_XC164547.wav,Blue-grey_Gnatcatcher_XC228490.wav,Carolina_Chickadee_XC296930.wav,Carolina_Wren_XC212257.wav,Cedar_Waxwing_XC296871.wav,Northern_Cardinal_XC220399.wav,Ruby-crowned_Kinglet_XC288840.wav
American_Goldfinch_XC217005.wav,American_Robin_XC160349.wav,Barn_Swallow_XC184536.wav,Blue_Jay_XC164548.wav,Blue-grey_Gnatcatcher_XC228492.wav,Carolina_Chickadee_XC309487.wav,Carolina_Wren_XC213519.wav,Cedar_Waxwing_XC296878.wav,Northern_Cardinal_XC220404.wav,Ruby-crowned_Kinglet_XC289253.wav
American_Goldfinch_XC253704.wav,American_Robin_XC160350.wav,Barn_Swallow_XC184537.wav,Blue_Jay_XC164549.wav,Blue-grey_Gnatcatcher_XC228494.wav,Carolina_Chickadee_XC319603.wav,Carolina_Wren_XC216250.wav,Cedar_Waxwing_XC298968.wav,Northern_Cardinal_XC220407.wav,Ruby-crowned_Kinglet_XC289677.wav
American_Goldfinch_XC254689.wav,American_Robin_XC160358.wav,Barn_Swallow_XC184538.wav,Blue_Jay_XC164730.wav,Blue-grey_Gnatcatcher_XC228495.wav,Carolina_Chickadee_XC326922.wav,Carolina_Wren_XC216274.wav,Cedar_Waxwing_XC301200.wav,Northern_Cardinal_XC234664.wav,Ruby-crowned_Kinglet_XC291496.wav
American_Goldfinch_XC268737.wav,American_Robin_XC160363.wav,Barn_Swallow_XC184539.wav,Blue_Jay_XC165317.wav,Blue-grey_Gnatcatcher_XC228497.wav,Carolina_Chickadee_XC339932.wav,Carolina_Wren_XC217121.wav,Cedar_Waxwing_XC305407.wav,Northern_Cardinal_XC236565.wav,Ruby-crowned_Kinglet_XC291497.wav
American_Goldfinch_XC268738.wav,American_Robin_XC160365.wav,Barn_Swallow_XC184541.wav,Blue_Jay_XC165318.wav,Blue-grey_Gnatcatcher_XC235197.wav,Carolina_Chickadee_XC341247.wav,Carolina_Wren_XC231100.wav,Cedar_Waxwing_XC305408.wav,Northern_Cardinal_XC237430.wav,Ruby-crowned_Kinglet_XC291510.wav
American_Goldfinch_XC276993.wav,American_Robin_XC160366.wav,Barn_Swallow_XC184850.wav,Blue_Jay_XC165319.wav,Blue-grey_Gnatcatcher_XC247308.wav,Carolina_Chickadee_XC356724.wav,Carolina_Wren_XC234668.wav,Cedar_Waxwing_XC306115.wav,Northern_Cardinal_XC237431.wav,Ruby-crowned_Kinglet_XC293811.wav
American_Goldfinch_XC288983.wav,American_Robin_XC160468.wav,Barn_Swallow_XC185322.wav,Blue_Jay_XC165320.wav,Blue-grey_Gnatcatcher_XC253921.wav,Carolina_Chickadee_XC357978.wav,Carolina_Wren_XC254934.wav,Cedar_Waxwing_XC306661.wav,Northern_Cardinal_XC252602.wav,Ruby-crowned_Kinglet_XC294802.wav
American_Goldfinch_XC288984.wav,American_Robin_XC160477.wav,Barn_Swallow_XC188601.wav,Blue_Jay_XC165321.wav,Blue-grey_Gnatcatcher_XC255294.wav,Carolina_Chickadee_XC357980.wav,Carolina_Wren_XC268213.wav,Cedar_Waxwing_XC307463.wav,Northern_Cardinal_XC263096.wav,Ruby-crowned_Kinglet_XC296931.wav
American_Goldfinch_XC294256.wav,American_Robin_XC160563.wav,Barn_Swallow_XC189845.wav,Blue_Jay_XC165322.wav,Blue-grey_Gnatcatcher_XC255295.wav,Carolina_Chickadee_XC357982.wav,Carolina_Wren_XC268634.wav,Cedar_Waxwing_XC307481.wav,Northern_Cardinal_XC266324.wav,Ruby-crowned_Kinglet_XC306158.wav
American_Goldfinch_XC294424.wav,American_Robin_XC160576.wav,Barn_Swallow_XC190143.wav,Blue_Jay_XC165323.wav,Blue-grey_Gnatcatcher_XC255631.wav,Carolina_Chickadee_XC357985.wav,Carolina_Wren_XC277282.wav,Cedar_Waxwing_XC313682.wav,Northern_Cardinal_XC266328.wav,Ruby-crowned_Kinglet_XC306521.wav
American_Goldfinch_XC297642.wav,American_Robin_XC160680.wav,Barn_Swallow_XC190319.wav,Blue_Jay_XC165324.wav,Blue-grey_Gnatcatcher_XC262815.wav,Carolina_Chickadee_XC357986.wav,Carolina_Wren_XC278595.wav,Cedar_Waxwing_XC313683.wav,Northern_Cardinal_XC266340.wav,Ruby-crowned_Kinglet_XC306946.wav
American_Goldfinch_XC298362.wav,American_Robin_XC160739.wav,Barn_Swallow_XC190322.wav,Blue_Jay_XC165396.wav,Blue-grey_Gnatcatcher_XC263483.wav,Carolina_Chickadee_XC358096.wav,Carolina_Wren_XC285279.wav,Cedar_Waxwing_XC313684.wav,Northern_Cardinal_XC266633.wav,Ruby-crowned_Kinglet_XC312984.wav
American_Goldfinch_XC313060.wav,American_Robin_XC160745.wav,Barn_Swallow_XC190324.wav,Blue_Jay_XC167820.wav,Blue-grey_Gnatcatcher_XC263484.wav,Carolina_Chickadee_XC358097.wav,Carolina_Wren_XC285280.wav,Cedar_Waxwing_XC314414.wav,Northern_Cardinal_XC266638.wav,Ruby-crowned_Kinglet_XC319406.wav
American_Goldfinch_XC313679.wav,American_Robin_XC160752.wav,Barn_Swallow_XC190326.wav,Blue_Jay_XC167954.wav,Blue-grey_Gnatcatcher_XC263485.wav,Carolina_Chickadee_XC358098.wav,Carolina_Wren_XC286401.wav,Cedar_Waxwing_XC315584.wav,Northern_Cardinal_XC270548.wav,Ruby-crowned_Kinglet_XC319514.wav
American_Goldfinch_XC315515.wav,American_Robin_XC160783.wav,Barn_Swallow_XC190327.wav,Blue_Jay_XC168072.wav,Blue-grey_Gnatcatcher_XC267310.wav,Carolina_Chickadee_XC358099.wav,Carolina_Wren_XC286403.wav,Cedar_Waxwing_XC321881.wav,Northern_Cardinal_XC274511.wav,Ruby-crowned_Kinglet_XC322945.wav
American_Goldfinch_XC318488.wav,American_Robin_XC160786.wav,Barn_Swallow_XC190329.wav,Blue_Jay_XC168073.wav,Blue-grey_Gnatcatcher_XC269495.wav,Carolina_Chickadee_XC358100.wav,Carolina_Wren_XC286404.wav,Cedar_Waxwing_XC329907.wav,Northern_Cardinal_XC286524.wav,Ruby-crowned_Kinglet_XC323030.wav
American_Goldfinch_XC323308.wav,American_Robin_XC160798.wav,Barn_Swallow_XC190332.wav,Blue_Jay_XC168074.wav,Blue-grey_Gnatcatcher_XC269496.wav,Carolina_Chickadee_XC358101.wav,Carolina_Wren_XC288991.wav,Cedar_Waxwing_XC360354.wav,Northern_Cardinal_XC287874.wav,Ruby-crowned_Kinglet_XC335809.wav
American_Goldfinch_XC325659.wav,American_Robin_XC160821.wav,Barn_Swallow_XC190333.wav,Blue_Jay_XC168075.wav,Blue-grey_Gnatcatcher_XC274876.wav,Carolina_Chickadee_XC358103.wav,Carolina_Wren_XC291923.wav,Cedar_Waxwing_XC361006.wav,Northern_Cardinal_XC287875.wav,Ruby-crowned_Kinglet_XC344647.wav
American_Goldfinch_XC334891.wav,American_Robin_XC161561.wav,Barn_Swallow_XC190564.wav,Blue_Jay_XC168076.wav,Blue-grey_Gnatcatcher_XC291617.wav,Carolina_Chickadee_XC358104.wav,Carolina_Wren_XC295852.wav,Cedar_Waxwing_XC363168.wav,Northern_Cardinal_XC288484.wav,Ruby-crowned_Kinglet_XC351653.wav
American_Goldfinch_XC344965.wav,American_Robin_XC163129.wav,Barn_Swallow_XC190566.wav,Blue_Jay_XC168077.wav,Blue-grey_Gnatcatcher_XC291618.wav,Carolina_Chickadee_XC358105.wav,Carolina_Wren_XC295853.wav,Cedar_Waxwing_XC374142.wav,Northern_Cardinal_XC297291.wav,Ruby-crowned_Kinglet_XC352807.wav
American_Goldfinch_XC363216.wav,American_Robin_XC163130.wav,Barn_Swallow_XC190646.wav,Blue_Jay_XC168078.wav,Blue-grey_Gnatcatcher_XC297504.wav,Carolina_Chickadee_XC358106.wav,Carolina_Wren_XC295854.wav,Cedar_Waxwing_XC393132.wav,Northern_Cardinal_XC297495.wav,Ruby-crowned_Kinglet_XC352809.wav
American_Goldfinch_XC367697.wav,American_Robin_XC163131.wav,Barn_Swallow_XC190647.wav,Blue_Jay_XC168079.wav,Blue-grey_Gnatcatcher_XC301531.wav,Carolina_Chickadee_XC358107.wav,Carolina_Wren_XC297112.wav,Cedar_Waxwing_XC407872.wav,Northern_Cardinal_XC303678.wav,Ruby-crowned_Kinglet_XC356194.wav
American_Goldfinch_XC368590.wav,American_Robin_XC163132.wav,Barn_Swallow_XC190648.wav,Blue_Jay_XC168080.wav,Blue-grey_Gnatcatcher_XC302322.wav,Carolina_Chickadee_XC358108.wav,Carolina_Wren_XC297113.wav,Cedar_Waxwing_XC408579.wav,Northern_Cardinal_XC306947.wav,Ruby-crowned_Kinglet_XC358259.wav
American_Goldfinch_XC372211.wav,American_Robin_XC163135.wav,Barn_Swallow_XC190649.wav,Blue_Jay_XC168081.wav,Blue-grey_Gnatcatcher_XC302534.wav,Carolina_Chickadee_XC358109.wav,Carolina_Wren_XC301432.wav,Cedar_Waxwing_XC408580.wav,Northern_Cardinal_XC309818.wav,Ruby-crowned_Kinglet_XC358321.wav
American_Goldfinch_XC376792.wav,American_Robin_XC163137.wav,Barn_Swallow_XC190650.wav,Blue_Jay_XC168082.wav,Blue-grey_Gnatcatcher_XC313272.wav,Carolina_Chickadee_XC358441.wav,Carolina_Wren_XC305161.wav,Cedar_Waxwing_XC408581.wav,Northern_Cardinal_XC309819.wav,Ruby-crowned_Kinglet_XC369850.wav
American_Goldfinch_XC383071.wav,American_Robin_XC163143.wav,Barn_Swallow_XC190651.wav,Blue_Jay_XC168084.wav,Blue-grey_Gnatcatcher_XC313464.wav,Carolina_Chickadee_XC361490.wav,Carolina_Wren_XC307754.wav,Cedar_Waxwing_XC413151.wav,Northern_Cardinal_XC309820.wav,Ruby-crowned_Kinglet_XC371954.wav
American_Goldfinch_XC383905.wav,American_Robin_XC163685.wav,Barn_Swallow_XC190652.wav,Blue_Jay_XC168085.wav,Blue-grey_Gnatcatcher_XC313507.wav,Carolina_Chickadee_XC362250.wav,Carolina_Wren_XC309314.wav,Cedar_Waxwing_XC420964.wav,Northern_Cardinal_XC309821.wav,Ruby-crowned_Kinglet_XC381790.wav
American_Goldfinch_XC385206.wav,American_Robin_XC163785.wav,Barn_Swallow_XC190653.wav,Blue_Jay_XC168086.wav,Blue-grey_Gnatcatcher_XC313741.wav,Carolina_Chickadee_XC362251.wav,Carolina_Wren_XC314878.wav,Cedar_Waxwing_XC421284.wav,Northern_Cardinal_XC313476.wav,Ruby-crowned_Kinglet_XC389093.wav
American_Goldfinch_XC388255.wav,American_Robin_XC164121.wav,Barn_Swallow_XC190654.wav,Blue_Jay_XC168090.wav,Blue-grey_Gnatcatcher_XC314875.wav,Carolina_Chickadee_XC363863.wav,Carolina_Wren_XC322025.wav,Cedar_Waxwing_XC425137.wav,Northern_Cardinal_XC313512.wav,Ruby-crowned_Kinglet_XC389094.wav
American_Goldfinch_XC389252.wav,American_Robin_XC164729.wav,Barn_Swallow_XC190736.wav,Blue_Jay_XC168091.wav,Blue-grey_Gnatcatcher_XC314950.wav,Carolina_Chickadee_XC364473.wav,Carolina_Wren_XC322614.wav,Cedar_Waxwing_XC428497.wav,Northern_Cardinal_XC320497.wav,Ruby-crowned_Kinglet_XC389095.wav
